what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252783618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252786158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252794331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252893878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1387252896710
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387252896821
error,log,,,"Failed to refresh projects from index changes",1387252897891
error,log,,,"Errors occurred while refreshing resources with the local file system.",1387252897892
error,log,,,"Failed to refresh projects from index changes",1387252897908
error,log,,,"Errors occurred while refreshing resources with the local file system.",1387252897909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252897955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252900046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252905682
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1387252906158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1387252906158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252906188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252908222
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1387252908807
